customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,charge_per_tenure,effective_tenure_paid,revenue_potential,onlinesecurity_flag,onlinebackup_flag,deviceprotection_flag,techsupport_flag,streamingtv_flag,streamingmovies_flag,service_count,has_premium_services,has_phone,has_internet,has_bundle,loyalty_segment,contract_risk,is_electronic_check,is_auto_payment
7590-VHVEG,Female,0,1,0,1,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,29.85,29.85,0,29.85,1.0,29.85,0,1,0,0,0,0,1,0,0,1,0,New (0-12m),3,1,0
5575-GNVDE,Male,0,0,0,34,1,No,DSL,Yes,No,Yes,No,No,No,One year,0,Mailed check,56.95,1889.5,0,1.675,33.17822651448639,1936.3000000000002,1,0,1,0,0,0,2,0,1,1,1,Established (2-4yr),2,0,0
3668-QPYBK,Male,0,0,0,2,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Mailed check,53.85,108.15,1,26.925,2.0083565459610027,107.7,1,1,0,0,0,0,2,0,1,1,1,New (0-12m),3,0,0
7795-CFOCW,Male,0,0,0,45,0,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,0,Bank transfer (automatic),42.3,1840.75,0,0.94,43.516548463356976,1903.4999999999998,1,0,1,1,0,0,3,1,0,1,0,Established (2-4yr),2,0,1
9237-HQITU,Female,0,0,0,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.7,151.65,1,35.35,2.144978783592645,141.4,0,0,0,0,0,0,0,0,1,1,1,New (0-12m),3,1,0
9305-CDSKC,Female,0,0,0,8,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.65,820.5,1,12.45625,8.233818364274962,797.2,0,0,1,0,1,1,3,1,1,1,1,New (0-12m),3,1,0
1452-KIOVK,Male,0,0,1,22,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Credit card (automatic),89.1,1949.4,0,4.05,21.878787878787882,1960.1999999999998,0,1,0,0,1,0,2,0,1,1,1,Developing (1-2yr),3,0,1
6713-OKOMC,Female,0,0,0,10,0,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,29.75,301.9,0,2.975,10.147899159663865,297.5,1,0,0,0,0,0,1,0,0,1,0,New (0-12m),3,0,0
7892-POOKP,Female,0,1,0,28,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,104.8,3046.05,1,3.742857142857143,29.06536259541985,2934.4,0,0,1,1,1,1,4,1,1,1,1,Established (2-4yr),3,1,0
6388-TABGU,Male,0,0,1,62,1,No,DSL,Yes,Yes,No,No,No,No,One year,0,Bank transfer (automatic),56.15,3487.95,0,0.9056451612903226,62.118432769367764,3481.2999999999997,1,1,0,0,0,0,2,0,1,1,1,Loyal (4-6yr),2,0,1
9763-GRSKD,Male,0,1,1,13,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,49.95,587.45,0,3.8423076923076924,11.76076076076076,649.35,1,0,0,0,0,0,1,0,1,1,1,Developing (1-2yr),3,0,0
7469-LKBCI,Male,0,0,0,16,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),18.95,326.8,0,1.184375,17.24538258575198,303.2,0,0,0,0,0,0,0,0,1,0,0,Developing (1-2yr),1,0,1
