customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,charge_per_tenure,effective_tenure_paid,revenue_potential,onlinesecurity_flag,onlinebackup_flag,deviceprotection_flag,techsupport_flag,streamingtv_flag,streamingmovies_flag,service_count,has_premium_services,has_phone,has_internet,has_bundle,loyalty_segment,contract_risk,is_electronic_check,is_auto_payment,historical_ltv,churn_probability,expected_remaining_months,predictive_ltv,total_ltv,ltv_segment
7590-VHVEG,Female,0,1,0,1,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,29.85,29.85,0,29.85,1.0,29.85,0,1,0,0,0,0,1,0,0,1,0,New (0-12m),3,1,0,29.85,0.8136598810502761,1.2290147557837006,36.34839556812118,66.19839556812119,Low Value
5575-GNVDE,Male,0,0,0,34,1,No,DSL,Yes,No,Yes,No,No,No,One year,0,Mailed check,56.95,1889.5,0,1.675,33.17822651448639,1936.3,1,0,1,0,0,0,2,0,1,1,1,Established (2-4yr),2,0,0,1889.5,0.07409370822053646,13.496422625029735,724.1269006895735,2613.6269006895736,Medium Value
3668-QPYBK,Male,0,0,0,2,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Mailed check,53.85,108.15,1,26.925,2.0083565459610027,107.7,1,1,0,0,0,0,2,0,1,1,1,New (0-12m),3,0,0,108.15,0.707169372920454,1.4140883899853014,75.38990096039004,183.53990096039004,Low Value
7795-CFOCW,Male,0,0,0,45,0,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,0,Bank transfer (automatic),42.3,1840.75,0,0.94,43.516548463356976,1903.5,1,0,1,1,0,0,3,1,0,1,0,Established (2-4yr),2,0,1,1840.75,0.11687265978345694,8.556321057917327,347.9335783698087,2188.683578369809,Medium Value
9237-HQITU,Female,0,0,0,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.7,151.65,1,35.35,2.144978783592645,141.4,0,0,0,0,0,0,0,0,1,1,1,New (0-12m),3,1,0,151.65,0.7998813001262421,1.2501854960756975,87.56682381850742,239.2168238185074,Low Value
9305-CDSKC,Female,0,0,0,8,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.65,820.5,1,12.45625,8.233818364274962,797.2,0,0,1,0,1,1,3,1,1,1,1,New (0-12m),3,1,0,820.5,0.9031025137974977,1.1072940056329303,109.38129452535627,929.8812945253562,Medium Value
1452-KIOVK,Male,0,0,1,22,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Credit card (automatic),89.1,1949.4,0,4.05,21.87878787878788,1960.2,0,1,0,0,1,0,2,0,1,1,1,Developing (1-2yr),3,0,1,1949.4,0.5468598867481722,1.8286219637471743,161.03015254293283,2110.430152542933,Medium Value
6713-OKOMC,Female,0,0,0,10,0,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,29.75,301.9,0,2.975,10.147899159663863,297.5,1,0,0,0,0,0,1,0,0,1,0,New (0-12m),3,0,0,301.9,0.46631724392617896,2.1444628373174774,62.97141641960837,364.87141641960835,Low Value
7892-POOKP,Female,0,1,0,28,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,104.8,3046.05,1,3.742857142857143,29.06536259541985,2934.4,0,0,1,1,1,1,4,1,1,1,1,Established (2-4yr),3,1,0,3046.05,0.7659742840013319,1.30552685760696,135.51684073179678,3181.566840731797,High Value
6388-TABGU,Male,0,0,1,62,1,No,DSL,Yes,Yes,No,No,No,No,One year,0,Bank transfer (automatic),56.15,3487.95,0,0.9056451612903226,62.11843276936776,3481.3,1,1,0,0,0,0,2,0,1,1,1,Loyal (4-6yr),2,0,1,3487.95,0.05001040054716523,19.99584064632499,1030.268802045137,4518.218802045137,High Value
9763-GRSKD,Male,0,1,1,13,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,49.95,587.45,0,3.842307692307693,11.76076076076076,649.35,1,0,0,0,0,0,1,0,1,1,1,Developing (1-2yr),3,0,0,587.45,0.2088161340577941,4.788901990318573,233.5429784581221,820.9929784581221,Medium Value
7469-LKBCI,Male,0,0,0,16,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),18.95,326.8,0,1.184375,17.24538258575198,303.2,0,0,0,0,0,0,0,0,1,0,0,Developing (1-2yr),1,0,1,326.8,0.19851104940336495,5.0375029652281365,93.10541756602143,419.90541756602147,Low Value
8091-TTVAX,Male,0,1,0,58,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,0,Credit card (automatic),100.35,5681.1,0,1.7301724137931034,56.61285500747385,5820.299999999999,0,0,1,0,1,1,3,1,1,1,1,Loyal (4-6yr),2,0,1,5681.1,0.310649938122934,3.2190574575433146,317.4349704302128,5998.534970430213,High Value
0280-XJGEX,Male,0,0,0,49,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,1,2.1163265306122447,48.56605593056895,5081.3,0,1,1,0,1,1,4,1,1,1,1,Loyal (4-6yr),3,0,1,5036.3,0.6037525990904505,1.6563075695350937,169.87719619387528,5206.177196193876,High Value
5129-JLPIS,Male,0,0,0,25,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,105.5,2686.05,0,4.22,25.46018957345972,2637.5,1,0,1,1,1,1,5,1,1,1,1,Established (2-4yr),3,1,0,2686.05,0.6203944786770927,1.6118776590861426,168.22082611481642,2854.2708261148164,Medium Value
3655-SNQYZ,Female,0,1,1,69,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),113.25,7895.15,0,1.641304347826087,69.71434878587196,7814.25,1,1,1,1,1,1,6,1,1,1,1,Loyal (4-6yr),1,0,1,7895.15,0.12682106297163,7.885125519123751,860.8183377676439,8755.968337767643,High Value
